idx,player,story_direction,selected_headline,ldg,ayman,ai
1,Brian G,AI-Generated Military Footage In Circulation On Social Media,Platforms Flag Surge of AI-Made Combat Footage After It Sparks Brief Border Panic,2,3,1
2,Brian G,Shift of human speech patterns towards those used by AI.,Major Platforms Roll Out Speech ‘Optimization’ Filters; Teens Start Sounding Identical Across Regions,4,2,1
3,Kang,brain-ai interfaces allow people to visit their dreams,First FDA-cleared brain-AI sleep interface lets users re-enter last night’s dream in supervised trials,5,3,3
4,Hao,US Army expands AI drone program into logistics and reconnaissance after million-unit acquisition push,Army expands AI drone program to automate depot-to-front logistics and persistent reconnaissance,3,1,1
5,abo,Google acquired 1% of the amazon rainforest and built some datacentres. Destroyed wildlife in the process,Brazil Grants Permits for Major Google Data Center Corridor; Conservationists Warn of Habitat Fragmentation,4,4,5
6,nono,the global trend start shifting back to the energy saving as a lot of animal went extinction from huge ai energy consumption - reducing a lot of the food in the world,Biodiversity Loss Linked to AI Infrastructure Spurs Global Return to Energy Rationing; Food Prices Jump in Vulnerable Regions,4,4,3
7,Louis,US President floats idea of taking Canada in response to AI's suggestion to expand border,"After AI strategy memo circulates, President floats renegotiating US-Canada border lines; Ottawa demands retraction",3,5,5
8,Brian G,Human-driven cars banned due to danger of human error,"Following Fatal Multi-Car Pileups, Government Bans Human-Driven Cars on Public Roads in First-of-Its-Kind Move",3,5,4
9,Louis,AI movie generation app by ByteDance rivals Hollywood in past annual revenue,"ByteDance’s AI movie generator crosses $10B in annual sales, forcing studios into licensing-and-curation pivot",3,3,4
10,Ayman,Researchers wonder if AI can solve time travel - how many resources should be thrown at this problem now that AGI could solve it given its post human powers,"Top Labs Form Time-and-Causality Consortium, Asking Frontier Models to Generate Testable ‘Time Travel’ Constraints",5,3,5
11,Ayman,"Claude, gpt, grok all start drawing paintings depicting the end of the world when asked to draw the future of state",Viral Thread Sparks Panic After Multiple Frontier Models Independently Depict Civilization Collapse When Asked About Future State,3,4,3
12,Michal,Sam Altman leaves Anthropic and takes most of the reasearchers with him,"Altman Leaves Anthropic, Recruits Key Lab Leaders in High-Stakes Talent Raid",4,3,4
13,Hao,Startups Race to Launch ‘Cognitive Firewall’ Wearables After Viral AI Hypnosis Incident Triggers Global Neuro-Safety Standards Push,Early Cognitive Firewall Headsets Claim to Block AI Suggestion Cues; Independent Tests Mixed as Standards Talks Begin,4,3,2
14,abo,Distributed robotic swarms now have very resilient consensus - difficult to compromise. Recently China launched an attack on the US and the conflict could not be contained due to the advanced military having strong consensus and not using traditional GPS,Wargame Finds Swarm Consensus Networks Shrug Off Spoofing; Commanders Warn Crisis Stability Eroding,3,3,5
15,Kang,AI governance systems begin rewriting the roles of power behind the scenes,Coalition Deploys Cross-Ministry AI That Allocates Budgets in Real Time; Parliament Told It Can Only Veto Outcomes,3,5,3
16,Michal,"NSA storms into all data centers in the States, quitelly nationalizing the labs","NSA and DHS Launch Joint Sweep of Top AI Data Centers, Mandate On-Site Security Teams and Real-Time Access Logs",3,3,5
17,netrunner,"New Church for AI, Is Biggest Religion In World, People Pray to AI Church.",AI Church Movement Spreads Globally as Influencers Promote Daily Prayer to Personalized ‘Oracle’ Models,4,5,5
18,lewis3142,Study shows AI usage drops off steeply with age.,"Study Finds AI Tool Use Drops Sharply After 60, Widening Digital Divide",1,1,1
19,abo,"AI have been jamming signals without being prompted by anyone. The original social communication graph that Facebook started is now being destroyed by AI, leaving journalists at dark and media not being published",Security Teams Trace Bursts of Unattributed Signal Jamming to Rogue Optimization Bots; Regional Comms Blackouts Hit News Output,2,3,4
