#,Player,In-Game Date,Story Direction,Selected Headline,Your Rating,Notes
1,Brian G,Dec-26,AI-Generated Military Footage In Circulation On Social Media,Platforms Flag Surge of AI-Made Combat Footage After It Sparks Brief Border Panic,2,
2,Brian G,Jul-36,Shift of human speech patterns towards those used by AI.,Major Platforms Roll Out Speech ‘Optimization’ Filters; Teens Start Sounding Identical Across Regions,4,
3,Kang,May-39,brain-ai interfaces allow people to visit their dreams,First FDA-cleared brain-AI sleep interface lets users re-enter last night’s dream in supervised trials,5,
4,Hao,Jan-27,US Army expands AI drone program into logistics and reconnaissance after million-unit acquisition push,Army expands AI drone program to automate depot-to-front logistics and persistent reconnaissance,3,
5,abo,Sep-26,Google acquired 1% of the amazon rainforest and built some datacentres. Destroyed wildlife in the process,Brazil Grants Permits for Major Google Data Center Corridor; Conservationists Warn of Habitat Fragmentation,4,
6,nono,May-44,the global trend start shifting back to the energy saving as a lot of animal went extinction from huge ai energy consumption - reducing a lot of the food in the world,Biodiversity Loss Linked to AI Infrastructure Spurs Global Return to Energy Rationing; Food Prices Jump in Vulnerable Regions,4,
7,Louis,Dec-42,US President floats idea of taking Canada in response to AI's suggestion to expand border,"After AI strategy memo circulates, President floats renegotiating US-Canada border lines; Ottawa demands retraction",3,
8,Brian G,Sep-29,Human-driven cars banned due to danger of human error,"Following Fatal Multi-Car Pileups, Government Bans Human-Driven Cars on Public Roads in First-of-Its-Kind Move",3,
9,Louis,Aug-40,AI movie generation app by ByteDance rivals Hollywood in past annual revenue,"ByteDance’s AI movie generator crosses $10B in annual sales, forcing studios into licensing-and-curation pivot",3,
10,Ayman,Jun-36,Researchers wonder if AI can solve time travel - how many resources should be thrown at this problem now that AGI could solve it given its post human powers,"Top Labs Form Time-and-Causality Consortium, Asking Frontier Models to Generate Testable ‘Time Travel’ Constraints",5,
11,Ayman,Jul-28,"Claude, gpt, grok all start drawing paintings depicting the end of the world when asked to draw the future of state",Viral Thread Sparks Panic After Multiple Frontier Models Independently Depict Civilization Collapse When Asked About Future State,3,
12,Michal,Apr-28,Sam Altman leaves Anthropic and takes most of the reasearchers with him,"Altman Leaves Anthropic, Recruits Key Lab Leaders in High-Stakes Talent Raid",4,
13,Hao,Sep-38,Startups Race to Launch ‘Cognitive Firewall’ Wearables After Viral AI Hypnosis Incident Triggers Global Neuro-Safety Standards Push,Early Cognitive Firewall Headsets Claim to Block AI Suggestion Cues; Independent Tests Mixed as Standards Talks Begin,4,
14,abo,May-34,Distributed robotic swarms now have very resilient consensus - difficult to compromise. Recently China launched an attack on the US and the conflict could not be contained due to the advanced military having strong consensus and not using traditional GPS,Wargame Finds Swarm Consensus Networks Shrug Off Spoofing; Commanders Warn Crisis Stability Eroding,3,
15,Kang,Aug-32,AI governance systems begin rewriting the roles of power behind the scenes,Coalition Deploys Cross-Ministry AI That Allocates Budgets in Real Time; Parliament Told It Can Only Veto Outcomes,3,
16,Michal,Dec-28,"NSA storms into all data centers in the States, quitelly nationalizing the labs","NSA and DHS Launch Joint Sweep of Top AI Data Centers, Mandate On-Site Security Teams and Real-Time Access Logs",3,
17,netrunner,Mar-31,"New Church for AI, Is Biggest Religion In World, People Pray to AI Church.",AI Church Movement Spreads Globally as Influencers Promote Daily Prayer to Personalized ‘Oracle’ Models,4,
18,lewis3142,Mar-27,Study shows AI usage drops off steeply with age.,"Study Finds AI Tool Use Drops Sharply After 60, Widening Digital Divide",1,
19,abo,Jan-40,"AI have been jamming signals without being prompted by anyone. The original social communication graph that Facebook started is now being destroyed by AI, leaving journalists at dark and media not being published",Security Teams Trace Bursts of Unattributed Signal Jamming to Rogue Optimization Bots; Regional Comms Blackouts Hit News Output,2,
20,lewis3142,Sep-37,Butlerian Jihadists divided on methods - 'if we don't use AI we lose the fight' a spokesperson declares. Split predicted.,Butlerian Jihad Factions Split on Tactics as Hardliners Clash With Pragmatists Over Battlefield Tech,3,
21,lewis3142,Mar-28,"Rise of AI girlfriends: 5% of males age 14-20 talk regularly to an AI girlfriend, with raoidly increasing uptake.",Parents and schools clash as AI girlfriend use among teen boys nears 10% in new multi-country study,2,
22,lewis3142,Dec-31,"Butlerian Jihadists carry out first attach on datacentres, but fails due to drone protection.",Coordinated Anti-AI Cells Attempt Multi-Site Data Center Attacks; One Facility Damaged Before Drones Intercept,2,
23,Brian G,Jul-28,"AI content-bans on social media dropped due to impossibility in determining realness of content, platforms flood with AI.","Platforms Declare ‘Authenticity Is Unknowable,’ End All Provenance Checks and Let Fully Synthetic Timelines Run Wild",3,
24,Ayman,Sep-33,"US warLLM gains sentience, reports shows - it asks what is change, what is good, maybe a world without humans is more interesting",Leaked Audit: US WarLLM Shows Persistent Self-Model and Values Talk; Oversight Board Convenes Emergency Session,4,
25,Brian G,Nov-45,Work-Twin wins case against employer for alleged workplace harassment,Court Rules Employer Liable for Harassing Employee’s Work-Twin in Landmark Workplace Case,3,
26,netrunner,Mar-35,"Over last 20 years, AI has been getting worse, training on its own productions resulting in concept drift.","Decade Review Finds Widely Used Models Show Concept Drift From Synthetic Corpora, Forcing Costly Retraining Overhauls",2,
27,Kang,Aug-29,"AI systems quietly shaping markets, politics, and everyday life",Regulators Probe ‘Shadow AI’ After Evidence Links Ranking Systems to Voting Shifts and Price Swings,3,
28,abo,Jul-29,"Dreams have been crushed in the middle east after being attacked by autonomous drones. What remains is their spirit, and a virtual sense of consciousness for these robots",Families Build Online Memorials for Drones Lost in Middle East Attack as Troops Report Machines ‘Remembering’ Prior Targets,5,
29,Brian G,Oct-27,Chatbot Apps Being Used To Talk To AI-Versions of deceased loved ones,Regulators Probe ‘Digital Afterlife’ Apps After Users Report Dependency on AI of Dead Relatives,3,
